USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
OH	39151713900	2925528	86804	       1.130	       0.034	 40.8040481	 -81.5356015                                                                                                                         
OH	39151714000	4192490	0	       1.619	       0.000	 40.7993175	 -81.5569391                                                                                                                             
OH	39151714100	2250910	42045	       0.869	       0.016	 40.7835971	 -81.5345412                                                                                                                         
OH	39151714200	2380568	52054	       0.919	       0.020	 40.7842178	 -81.5148748                                                                                                                         
OH	39151714302	3614022	11573	       1.395	       0.004	 40.8004650	 -81.4910643                                                                                                                         
OH	39151714400	16250120	121278	       6.274	       0.047	 40.7720697	 -81.4977254                                                                                                                       
OH	39151714600	29740548	173836	      11.483	       0.067	 40.7431055	 -81.5033762                                                                                                                       
OH	39151714701	26664550	8245	      10.295	       0.003	 40.7936735	 -81.5756848                                                                                                                         
OH	39151714702	54875613	20720	      21.188	       0.008	 40.7729298	 -81.6155810                                                                                                                        
OH	39151714801	87949403	187061	      33.957	       0.072	 40.6913269	 -81.6021339                                                                                                                       
OH	39151714802	78363075	197281	      30.256	       0.076	 40.6775860	 -81.4895143                                                                                                                       
OH	39151714901	82336249	144056	      31.790	       0.056	 40.6870782	 -81.3740412                                                                                                                       
OH	39151714902	53206699	25996	      20.543	       0.010	 40.6936014	 -81.2801881                                                                                                                        
OH	39151715000	2212454	16064	       0.854	       0.006	 40.7974116	 -81.5145184                                                                                                                         
OH	39153501100	2176189	0	       0.840	       0.000	 41.0903865	 -81.5058547                                                                                                                             
OH	39153501700	372625	0	       0.144	       0.000	 41.0683703	 -81.5140053                                                                                                                              
OH	39153501800	714999	0	       0.276	       0.000	 41.0688191	 -81.5429231                                                                                                                              
